Loaded file data/german_print_dict/ZfN_50E_v1.lstm, unpacking...
Warning: LSTMTrainer deserialized an LSTMRecognizer!
Code range changed from 419 to 428!
Num (Extended) outputs,weights in Series:
  1,36,0,1:1, 0
Num (Extended) outputs,weights in Series:
  C3,3:9, 0
  Ft16:16, 160
Total weights = 160
  [C3,3Ft16]:16, 160
  Mp3,3:16, 0
  TxyLfys48:48, 12480
  Lfx96:96, 55680
  RxLrx96:96, 74112
  Lfx192:192, 221952
  Fc428:428, 82604
Total weights = 446988
Previous null char=418 mapped to 427
Continuing from data/german_print_dict/ZfN_50E_v1.lstm
2 Percent improvement time=30, best error was 100 @ 0
At iteration 2170/7800/7800, mean rms=0.280%, delta=1.402%, BCER train=3.962%, BWER train=8.497%, skip ratio=0.000%, New worst BCER = 3.962 wrote checkpoint.
At iteration 2194/7900/7900, mean rms=0.278%, delta=1.391%, BCER train=4.026%, BWER train=8.556%, skip ratio=0.000%, New worst BCER = 4.026 wrote checkpoint.
At iteration 2220/8000/8000, mean rms=0.267%, delta=1.180%, BCER train=3.666%, BWER train=7.866%, skip ratio=0.000%, New worst BCER = 3.666 wrote checkpoint.
At iteration 2237/8100/8100, mean rms=0.261%, delta=1.160%, BCER train=3.594%, BWER train=7.505%, skip ratio=0.000%, New worst BCER = 3.594 wrote checkpoint.
At iteration 2264/8200/8200, mean rms=0.259%, delta=1.139%, BCER train=3.602%, BWER train=7.407%, skip ratio=0.000%, New worst BCER = 3.602 wrote checkpoint.
At iteration 2294/8300/8300, mean rms=0.264%, delta=1.168%, BCER train=3.579%, BWER train=7.490%, skip ratio=0.000%, New worst BCER = 3.579 wrote checkpoint.
At iteration 2317/8400/8400, mean rms=0.256%, delta=1.124%, BCER train=3.349%, BWER train=7.159%, skip ratio=0.000%, New worst BCER = 3.349 wrote checkpoint.
At iteration 2340/8500/8500, mean rms=0.240%, delta=0.854%, BCER train=2.928%, BWER train=6.539%, skip ratio=0.000%, New worst BCER = 2.928 wrote checkpoint.
At iteration 2362/8600/8600, mean rms=0.232%, delta=0.770%, BCER train=2.718%, BWER train=6.251%, skip ratio=0.000%, New worst BCER = 2.718 wrote checkpoint.
At iteration 2392/8700/8700, mean rms=0.241%, delta=0.996%, BCER train=2.872%, BWER train=6.705%, skip ratio=0.000%, New worst BCER = 2.872 wrote checkpoint.
At iteration 2415/8800/8800, mean rms=0.244%, delta=1.001%, BCER train=2.899%, BWER train=6.810%, skip ratio=0.000%, New worst BCER = 2.899 wrote checkpoint.
At iteration 2440/8900/8900, mean rms=0.243%, delta=1.035%, BCER train=2.809%, BWER train=6.670%, skip ratio=0.000%, New worst BCER = 2.809 wrote checkpoint.
At iteration 2464/9000/9000, mean rms=0.241%, delta=1.022%, BCER train=2.663%, BWER train=6.560%, skip ratio=0.000%, New worst BCER = 2.663 wrote checkpoint.
2 Percent improvement time=2481, best error was 100 @ 0
At iteration 2481/9100/9100, mean rms=0.238%, delta=0.991%, BCER train=2.609%, BWER train=6.538%, skip ratio=0.000%, New best BCER = 2.609 wrote checkpoint.
2 Percent improvement time=2505, best error was 100 @ 0
At iteration 2505/9200/9200, mean rms=0.236%, delta=0.977%, BCER train=2.526%, BWER train=6.455%, skip ratio=0.000%, New best BCER = 2.526 wrote best model:data/ZfN_50E_v1/checkpoints/ZfN_50E_v1_2.526_2505_9200.checkpoint wrote checkpoint.
2 Percent improvement time=2526, best error was 100 @ 0
At iteration 2526/9300/9300, mean rms=0.226%, delta=0.903%, BCER train=2.491%, BWER train=6.404%, skip ratio=0.000%, New best BCER = 2.491 wrote checkpoint.
At iteration 2552/9400/9400, mean rms=0.232%, delta=0.920%, BCER train=2.566%, BWER train=6.646%, skip ratio=0.000%, New worst BCER = 2.566 wrote checkpoint.
At iteration 2571/9500/9500, mean rms=0.230%, delta=0.919%, BCER train=2.522%, BWER train=6.647%, skip ratio=0.000%, New worst BCER = 2.522 wrote checkpoint.
At iteration 2597/9600/9600, mean rms=0.232%, delta=0.929%, BCER train=2.566%, BWER train=6.706%, skip ratio=0.000%, New worst BCER = 2.566 wrote checkpoint.
2 Percent improvement time=2619, best error was 100 @ 0
At iteration 2619/9700/9700, mean rms=0.220%, delta=0.709%, BCER train=2.405%, BWER train=6.295%, skip ratio=0.000%, New best BCER = 2.405 wrote best model:data/ZfN_50E_v1/checkpoints/ZfN_50E_v1_2.405_2619_9700.checkpoint wrote checkpoint.
At iteration 2644/9800/9800, mean rms=0.224%, delta=0.744%, BCER train=2.561%, BWER train=6.561%, skip ratio=0.000%, New worst BCER = 2.561 wrote checkpoint.
At iteration 2663/9900/9900, mean rms=0.221%, delta=0.689%, BCER train=2.476%, BWER train=6.531%, skip ratio=0.000%, New worst BCER = 2.476 wrote checkpoint.
At iteration 2695/10000/10000, mean rms=0.227%, delta=0.733%, BCER train=2.658%, BWER train=7.021%, skip ratio=0.000%, New worst BCER = 2.658 wrote checkpoint.
At iteration 2723/10100/10100, mean rms=0.234%, delta=0.756%, BCER train=2.761%, BWER train=7.263%, skip ratio=0.000%, New worst BCER = 2.761 wrote checkpoint.
At iteration 2749/10200/10200, mean rms=0.231%, delta=0.741%, BCER train=2.678%, BWER train=7.121%, skip ratio=0.000%, New worst BCER = 2.678 wrote checkpoint.
At iteration 2782/10300/10300, mean rms=0.239%, delta=0.827%, BCER train=2.773%, BWER train=7.218%, skip ratio=0.000%, New worst BCER = 2.773 wrote checkpoint.
At iteration 2798/10400/10400, mean rms=0.229%, delta=0.779%, BCER train=2.593%, BWER train=6.873%, skip ratio=0.000%, New worst BCER = 2.593 wrote checkpoint.
At iteration 2825/10500/10500, mean rms=0.239%, delta=0.860%, BCER train=2.813%, BWER train=7.488%, skip ratio=0.000%, New worst BCER = 2.813 wrote checkpoint.
At iteration 2848/10600/10600, mean rms=0.241%, delta=0.966%, BCER train=2.963%, BWER train=7.806%, skip ratio=0.000%, New worst BCER = 2.963 wrote checkpoint.
At iteration 2872/10700/10700, mean rms=0.241%, delta=0.942%, BCER train=2.948%, BWER train=7.771%, skip ratio=0.000%, New worst BCER = 2.948 wrote checkpoint.
At iteration 2900/10800/10800, mean rms=0.243%, delta=0.974%, BCER train=2.912%, BWER train=7.637%, skip ratio=0.000%, New worst BCER = 2.912 wrote checkpoint.
At iteration 2925/10900/10900, mean rms=0.250%, delta=1.021%, BCER train=3.102%, BWER train=7.834%, skip ratio=0.000%, New worst BCER = 3.102 wrote checkpoint.
At iteration 2948/11000/11000, mean rms=0.245%, delta=1.004%, BCER train=3.101%, BWER train=7.732%, skip ratio=0.000%, New worst BCER = 3.101 wrote checkpoint.
At iteration 2977/11100/11100, mean rms=0.249%, delta=1.084%, BCER train=3.293%, BWER train=8.011%, skip ratio=0.000%, New worst BCER = 3.293 wrote checkpoint.
